2022-06-30 07:03:28,834 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2022-06-30 07:03:28,835 - INFO - Added job "Cache.is_it_time_to_dump" to job store "default"
2022-06-30 07:03:28,835 - INFO - Scheduler started
2022-06-30 07:03:28,838 - INFO - Started server process [1]
2022-06-30 07:03:28,838 - INFO - Waiting for application startup.
2022-06-30 07:03:28,839 - INFO - Application startup complete.
2022-06-30 07:03:28,840 - INFO - Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2022-06-30 07:03:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:03:48 UTC)" (scheduled at 2022-06-30 07:03:48.834505+00:00)
2022-06-30 07:03:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:04:08 UTC)" executed successfully
2022-06-30 07:04:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:04:28 UTC)" (scheduled at 2022-06-30 07:04:08.834505+00:00)
2022-06-30 07:04:08,836 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:04:08,837 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:04:28 UTC)" executed successfully
2022-06-30 07:04:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:04:48 UTC)" (scheduled at 2022-06-30 07:04:28.834505+00:00)
2022-06-30 07:04:28,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:04:48 UTC)" executed successfully
2022-06-30 07:04:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:05:08 UTC)" (scheduled at 2022-06-30 07:04:48.834505+00:00)
2022-06-30 07:04:48,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:05:08 UTC)" executed successfully
2022-06-30 07:05:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:05:28 UTC)" (scheduled at 2022-06-30 07:05:08.834505+00:00)
2022-06-30 07:05:08,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:05:08,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:05:28 UTC)" executed successfully
2022-06-30 07:05:28,522 - INFO - Cache is full, dumping to file and resetting.
2022-06-30 07:05:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:05:48 UTC)" (scheduled at 2022-06-30 07:05:28.834505+00:00)
2022-06-30 07:05:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:05:48 UTC)" executed successfully
2022-06-30 07:05:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:06:08 UTC)" (scheduled at 2022-06-30 07:05:48.834505+00:00)
2022-06-30 07:05:48,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:06:08 UTC)" executed successfully
2022-06-30 07:06:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:06:28 UTC)" (scheduled at 2022-06-30 07:06:08.834505+00:00)
2022-06-30 07:06:08,835 - INFO - Cache timed-out, dumping to file and resetting timer
2022-06-30 07:06:08,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:06:28 UTC)" executed successfully
